id,submitter,categories,abstract,title,affiliation
45,Alberto Verjovsky,math.GT,"  In this paper, we prove than given two cubic knots $K_1$, $K_2$ in
$\mathbb{R}^3$, they are isotopic if and only if one can pass from one to the
other by a finite sequence of cubulated moves. These moves are analogous to the
Reidemeister moves for classical tame knots. We use the fact that a cubic knot
is determined by a cyclic permutation of contiguous vertices of the
$\mathbb{Z}^3$-lattice (with some restrictions), to describe some of the
classic invariants and properties of the knots in terms of such cyclic
permutations, by projecting onto a plane such that it is injective when
restricted to the $\mathbb{Z}^3$-lattice and the image of the
$\mathbb{Z}^3$-lattice is dense.
",Cubulated moves and discrete knots,National Autonomous University of Mexico
46,Alberto Verjovsky,math.CV,"  We construct an Ahlfors-Bers complex analytic model for the Teichm\""uller
space of the universal hyperbolic lamination (also known as Sullivan's
Teichm\""uller space) and the renormalized Weil-Petersson metric on it as an
extension of the usual one. In this setting, we prove that Sullivan's
Teichm\""uller space is K\""ahler isometric biholomorphic to the space of
continuous functions from the profinite completion of the fundamental group of
a compact Riemann surface of genus greater than or equal to two to the
Teichm\""uller space of this surface; i.e. We find natural K\""ahler coordinates
for the Sullivan's Teichm\""uller space. This is the main result. As a
corollary, we show the expected fact that the Nag-Verjovsky embedding is
transversal to the Sullivan's Teichm\""uller space contained in the universal
one.
","Teichm\""uller theory of the universal hyperbolic lamination",National Autonomous University of Mexico
47,Alberto Verjovsky,math.AT,"  We construct open book structures on moment-angle manifolds and give a new
construction of examples of contact manifolds in arbitrarily large dimensions.
","Open Book Structures on Moment-Angle Manifolds $Z^{\mathbb C}(\Lambda)$
  and Higher Dimensional Contact Manifolds",National Autonomous University of Mexico
48,Alberto Verjovsky,math.CV,"  These are notes for the CIME school on Complex non-K\""ahler geometry from
July 9th to July 13th of 2018 in Cetraro, Italy. It is an overview of different
properties of a class of non-K\""ahler compact complex manifolds called LVMB
manifolds, obtained as the Hausdorff space of leaves of systems of commuting
complex linear equations in an open set in complex projective space ${{mathbb
P}_{\mathbb C}}^{n-1}$
","Intersection of quadrics in ${\mathbb{C}}^n$, moment-angle manifolds,
  complex manifolds and convex polytopes",National Autonomous University of Mexico
49,Alberto Verjovsky,math.GT math.DS,"  In this paper we consider the Kleinian groups acting conformally on the
sphere $\mathbb{S}^{n+2}$ $(1\leq{n}\leq5)$ which have as limit sets wild
spheres $K^n$ which were constructed in \cite{BHV} and prove that $K^n$ is
ambient homogeneous. In other words, given two points $p,\,\,q\in{K}$ there
exists a homeomorphism $\psi:\mathbb{S}^{n+2}\rightarrow\mathbb{S}^{n+2} $ such
that $\psi(K)=K$ and $\psi(p)=q$.
","Some examples of dynamically defined ambient homogeneous wild knots in
  higher dimensions",National Autonomous University of Mexico
50,Alberto Verjovsky,math.SG math.AT,"  We construct new examples of contact manifolds in arbitrarily large
dimensions. These manifolds which we call quasi moment-angle manifolds, are
closely related to the classical moment-angle manifolds.
","Moment-angle manifolds, intersection of quadrics and higher dimensional
  contact manifolds",National Autonomous University of Mexico
51,Alberto Verjovsky,math.DS,"  This article presents a generalization of the notion of \emph{Poincar\'e
rotation set} to homeomorphisms of the ad\`ele class group
$\mathbb{A}/\mathbb{Q}$ of the rational numbers $\mathbb{Q}$, which is a
connected compact abelian group which can be identified with the
one-dimensional universal solenoid $\mathbf{S}$, \ie the algebraic universal
covering of the circle. The definition is first introduced in general for
homeomorphisms of $\mathbf{S}$ which are isotopic to a translation, and then
specializing in homeomorphisms of $\mathbf{S}$ isotopic to the identity, in
which case the rotation set is a closed interval contained in the base leaf
(the connected component of the identity). If in the latter case the rotation
interval reduces to a single element $\rho$ and $\rho$ is irrational (\ie it is
a monothetic generator of $\mathbf{S}$), we show that the homeomorphism is
semiconjugate to the translation $z\mapsto\rho{z}$, like in the classical
theory of Poincar\'e. This theory is valid for any general compact abelian one
dimensional solenoidal group $\mathbf{S}_G$, which are Pontryagin duals of
dense subgroups $G$ of the rational numbers with the discrete topology. These
solenoidal groups are one-dimensional laminations which are locally
homeomorphic to the product of a Cantor set by an interval so they behave very
much like a ``diffuse'' version of the circle. Our approach differs from others
because we use Pontryagin duality of compact abelian groups to define the
rotation sets.
  \end{abstract}
",Poincar\'e theory for compact abelian one-dimensional solenoidal groups,National Autonomous University of Mexico
52,Alberto Verjovsky,math.AT math.AG,"  We consider a generalized Riemann-Hurwitz formula as it may be applied to
rational maps between projective varieties having an indeterminacy set and
fold-like singularities. The case of a holomorphic branched covering map is
recalled. Then we see how the formula can be applied to iterated maps having
branch-like singularities. Separately, we consider a further application
involving the Chern classes of determinantal varieties when the latter are
realized as the degeneracy loci of certain vector bundle morphisms.
","Rational and iterated maps, degeneracy loci, and the generalized
  Riemann-Hurwitz formula",National Autonomous University of Mexico
53,Alberto Verjovsky,math.GT math.DG,"  Using the rings of Lipschitz and Hurwitz integers $\mathbb{H}(\mathbb{Z})$
and $\mathbb{H}ur(\mathbb{Z})$ in the quaternion division algebra $\mathbb{H}$,
we define several Kleinian discrete subgroups of $PSL(2,\mathbb{H})$
","Quaternionic Kleinian modular groups and arithmetic hyperbolic orbifolds
  over the quaternions",National Autonomous University of Mexico
54,Alberto Verjovsky,math.AT math.GT,"  We construct open book structures on all moment-angle manifolds and describe
the topology of their leaves and bindings under certain restrictions. II. We
also show, using a recent deep result about contact forms due to Borman,
Eliashberg and Murphy [6], that every odd-dimensional moment-angle manifold
admits a contact structure. This contrasts with the fact that, except for a
few, well-determined cases, even-dimensional ones do not admit symplectic
structures. We obtain the same results for large families of more general
intersections of quadrics.
",Some Open Book and Contact Structures on Moment-Angle Manifolds,National Autonomous University of Mexico
55,Alberto Verjovsky,math.CV math.NT,"  Topologically the adelic Riemann sphere is the suspension of the adelic
solenoid and because of this relation, here we study the adelic solenoid by
studying the adelic Riemann sphere topology. The main result is the
Birkhoff-Grothendieck Theorem: A holomorphic vector bundle splits as a sum of
holomorphic line bundles whose Chern character is now a rational number. As a
consequence, the Picard group is isomorphic to the additive group of rational
numbers and the $K$--ring has new elements that factor the tautological class.
",Adelic solenoid I: Structure and topology,National Autonomous University of Mexico
56,Alejandro Rivera,math.PR,"  Let f be a stationary isotropic non-degenerate Gaussian field on R^2. Assume
that f = q * W where q is both C^2 and L^2 and W is the L^2 white noise on R^2.
We extend a result by Stephen Muirhead and Hugo Vanneuville by showing that,
assuming that q * q is pointwise non-negative and has fast enough decay, the
set {f > -l} percolates with probability one when l > 0 and with probability
zero if l < 0 or l = 0. We also prove exponential decay of crossing
probabilities and uniqueness of the unbounded cluster. To this end, we study a
Gaussian field g defined on the torus and establish a superconcentration
formula for the threshold T(g) which is the minimal value such that {g > -T(g)}
contains a non-contractible loop. This formula follows from a Gaussian
Talagrand type inequality.
",Talagrand's inequality in planar Gaussian field percolation,Carnegie Mellon University
57,Alejandro Rivera,math.PR,"  For the Bargmann-Fock field on R d with d $\ge$ 3, we prove that the critical
level c (d) of the percolation model formed by the excursion sets {f $\ge$ } is
strictly positive. This implies that for every sufficiently close to 0 (in
particular for the nodal hypersurfaces corresponding to the case = 0), {f = }
contains an unbounded connected component that visits ""most"" of the ambient
space. Our findings actually hold for a more general class of positively
correlated smooth Gaussian fields with rapid decay of correlations. The results
of this paper show that the behaviour of nodal hypersurfaces of these Gaussian
fields in R d for d $\ge$ 3 is very different from the behaviour of nodal lines
of their two-dimensional analogues. Contents
","Existence of an unbounded nodal hypersurface for smooth Gaussian fields
  in dimension d $\ge$ 3",Carnegie Mellon University
58,Alejandro Rivera,math.PR math.SP,"  Let ($\Sigma$, g) be a closed connected surface equipped with a riemannian
metric. Let ($\lambda$ n) n$\in$N and ($\psi$ n) n$\in$N be the increasing
sequence of eigenvalues and the sequence of corresponding L 2-normalized
eigenfunctions of the laplacian on $\Sigma$. For each L \textgreater{} 0, we
consider $\phi$ L = 0\textless{}$\lambda$n$\le$L $\xi$n $\sqrt$ $\lambda$n
$\psi$ n where the $\xi$ n are i.i.d centered gaussians with variance 1. As L
$\rightarrow$ $\infty$, $\phi$ L converges a.s. to the Gaussian Free Field on
$\Sigma$ in the sense of distributions. We first compute the asymptotic
behavior of the covariance function for this family of fields as L
$\rightarrow$ $\infty$. We then use this result to obtain the asymptotics of
the probability that $\phi$ L is positive on a given open proper subset with
smooth boundary. In doing so, we also prove the concentration of the supremum
of $\phi$ L around 1 $\sqrt$ 2$\pi$ ln L.
",Hole probability for nodal sets of the cut-off Gaussian Free Field,Carnegie Mellon University
59,Alejandro Rivera,math.SP math.PR,"  Let $\mathcal{M}$ be a smooth manifold of positive dimension $n$ equipped
with a smooth density $d\mu_{\mathcal{M}}$. Let $A$ be a polyhomogeneous
elliptic pseudo-differential operator of positive order $m$ on $\mathcal{M}$
which is symmetric for the $L^2$ scalar product defined by
$d\mu_{\mathcal{M}}$. For each $L>0$, the space $U_L=\bigoplus_{\lambda\leq
L}Ker(A-\lambda Id)$ is a finite dimensional subspace of
$C^\infty(\mathcal{M})$. Let $\Pi_L$ be the spectral projector onto $U_L$.
Given $s\in\mathbb{R}$, we compute the asymptotics of the integral kernel $K_L$
of $\Pi_LA^{-s}$ in the cases where $n>ms$ and $n=ms$ respectively. Next,
assuming that $\mathcal{M}$ is closed, let $(e_n)_{n\in\mathbb{N}}$ and
$(\lambda_n)_{n\in\mathbb{N}}$ be the sequence of $L^2$ normalized
eigenfunctions and eigenvalues of $A$ where the latter sequence organized in
increasing order. Let $(\xi_n)_{n\in\mathbb{N}}$ be a sequence of independent
centered gaussians of variance $1$. We fix a parameter $s\in\mathbb{R}$ such
that $n\geq ms$ and consider the family $(\phi_L)_{L>0}$ of smooth random
fields on $\mathcal{M}$ defined by \[\phi_L=\sum_{0<\lambda_j\leq
L}\lambda_j^{-\frac{s}{2}}\xi_je_j\] for each $L>0$. It turns out that the
covariance function of $\phi_L$ is $K_L$. Using this information, we apply the
derived asymptotics to study the zero set of $\phi_L$. If $n>ms$ then the
number of components of the zero set of $\phi_L$ concentrates around
$aL^{\frac{n}{m}}$ for some positive constant $a$. On the other hand, if
$n=ms$, each Betti number of the zero set has an expectation bounded by
$C\ln\Big(L^{\frac{1}{m}}\Big)^{-\frac{1}{2}}L^{\frac{n}{m}}$ where $C$ is an
explicit constant. When $\mathcal{M}$ is a closed surface with a Riemmanian
metric, $A$ is the Laplacian and $d\mu_\mathcal{M}$ is the Riemmanian volume,
$C$ equals $\frac{1}{4\pi^2}\sqrt{\frac{3}{2}}Vol(\mathcal{M})$.
","Anomalies in local Weyl laws and applications to random topology at
  critical dimension",Carnegie Mellon University
60,Alejandro Rivera,math.PR,"  In this article, we study the excursions sets
$\mathcal{D}\_p=f^{-1}([-p,+\infty[)$ where $f$ is a natural real-analytic
planar Gaussian field called the Bargmann-Fock field. More precisely, $f$ is
the centered Gaussian field on $\mathbb{R}^2$ with covariance $(x,y) \mapsto
\exp(-\frac{1}{2}|x-y|^2)$. In [BG16], Beffara and Gayet prove that, if $p \leq
0$, then a.s. $\mathcal{D}\_p$ has no unbounded component. We show that
conversely, if $p>0$, then a.s. $\mathcal{D}\_p$ has a unique unbounded
component. As a result, the critical level of this percolation model is $0$. We
also prove exponential decay of crossing probabilities under the critical
level. To show these results, we develop several tools including a KKL-type
result for biased Gaussian vectors (based on the analogous result for product
Gaussian vectors by Keller, Mossel and Sen in [KMS12]) and a sprinkling
inspired discretization procedure. These intermediate results hold for more
general Gaussian fields, for which we prove a discrete version of our main
result.
